title,is_paid,price,headline,num_subscribers,avg_rating,num_reviews,num_comments,num_lectures,content_length_min,published_time,last_update_date,category,subcategory,topic,course_url,instructor_name,course_id
AZ-900: Microsoft Azure Fundamentals Video Course - May 2022,True,19.99,AZ-900 Exam: Microsoft Azure Fundamentals || 15+ hours of videos || 100% Syllabus || PPTs || Demos,7184.0,4.647715,1533.0,325.0,226.0,984.0,2022-03-17,2022-09-27,IT & Software,IT Certifications,Microsoft AZ-900,/course/cloudgita-azure-fundamental/,Saurabh Gupta || CloudGita || AZ-900 || AZ-104 || AWS Certified Cloud Practitioner,32
"Vue JS 3: Composition API (with Pinia, Firebase 9 & Vite)",True,19.99,"Already know the Options API? Switch over to the Composition API as quickly as possible! (Oh, and Pinia & Firebase 9!)",3397.0,4.7836256,800.0,190.0,155.0,554.0,2022-03-23,2022-06-07,Development,Web Development,Vue JS,/course/vue-js-3-composition-api/,Danny Connell,12
Getting Started with Wireshark: The Ultimate Hands-On Course,True,19.99,Go from Packet Zero to Packet Hero with this Practical Wireshark course.,11814.0,4.78269,1530.0,385.0,71.0,404.0,2022-04-28,2022-09-13,IT & Software,Network & Security,Wireshark,/course/wireshark-ultimate-hands-on-course/,Experts with David Bombal,31
Playwright JS Automation Testing from Scratch with Framework,True,199.99,Playwright -Modern Testing tool for reliable Web Automation. Support API calls with in UI tests for Smarter Automation.,6751.0,4.5404253,977.0,140.0,70.0,840.0,2022-04-01,2022-07-15,Development,Software Testing,Microsoft Playwright,/course/playwright-tutorials-automation-testing/,Rahul Shetty,20
TOTAL Python: Become an Advanced Python Developer in 16 days,True,19.99,"One REAL Python project per day. From ZERO to Facial Recognition. Machine Learning, Data Science, Django, IGU, Games+",18654.0,4.670391,1489.0,315.0,225.0,1580.0,2022-04-15,2022-09-20,Development,Programming Languages,Python,/course/total-python/,Federico Garay,30
PL-300 | DA-100 Microsoft Power BI Certification - Exam Prep,True,199.99,Full Practice Exam | Pass the PL-300 | DA-100 exam and become Microsoft Certified: Power BI Data Analyst Associate!,5678.0,4.6165643,1020.0,146.0,120.0,538.0,2022-03-25,2022-09-12,IT & Software,IT Certifications,Microsoft Certification,/course/pl-300-da-100-microsoft-power-bi-data-analyst-exam-prep/,Nikolai Schuler,21
A to Z Complete Metaverse Master Course,True,99.99,"The most interactive Metaverse course! Be the early adopters with learning NFT, Metamask, VR, AR, Blockchain and more",1206.0,4.242857,538.0,108.0,24.0,145.0,2022-03-15,2022-05-11,Finance & Accounting,Cryptocurrency & Blockchain,Metaverse,/course/a-to-z-complete-metaverse-master-course/,Ibozi Trading,6
ASP.NET Core 6.0 Course - MVC - Blazor - Razor - EF Core,True,199.99,"Become a great ASP.NET Developer and be ready for any ASP.NET scenario using Blazor, Razor, MVC, Entity Framework & more",4497.0,4.552711,789.0,140.0,130.0,824.0,2022-03-23,2022-09-08,Development,Web Development,ASP.NET Core,/course/aspnet-6-course/,Denis Panjuta,11
Complete Cisco CCNA 200-301 Course,True,19.99,Everything you need to pass the Cisco CCNA 200-301 Exam - a complete course with Jeremy's IT Lab,10994.0,4.7597623,1409.0,248.0,117.0,2338.0,2022-04-20,2022-06-17,IT & Software,IT Certifications,Cisco CCNA,/course/complete-cisco-ccna-200-301-course/,Experts with David Bombal,29
[NEW] AZ-104: Microsoft Azure Administrator - July 2022,True,19.99,Deep-Dive for AZ-104 Exam: Microsoft Azure Administrator | Demos | 30+ hours of videos || 100% Syllabus || PPTs,6022.0,4.695382,664.0,134.0,343.0,2045.0,2022-03-20,2022-09-27,IT & Software,Other IT & Software,Microsoft Azure,/course/azure-tips-tricks/,Saurabh Gupta || CloudGita || AZ-900 || AZ-104 || AWS Certified Cloud Practitioner,10
10-Day Double Your Self-Confidence & Self-Esteem Challenge,True,99.99,Step-by-step process to creating lasting confidence in personal life and business. Boost your inner and outer confidence,4399.0,4.5863876,1063.0,161.0,34.0,150.0,2022-04-20,2022-10-09,Personal Development,Self Esteem & Confidence,Confidence,/course/10-day-double-your-self-confidence-self-esteem-challenge/,Jimmy Naraine,23
200 Hours Yoga Teacher Training - Part 1 (Yoga Alliance),True,199.99,Part 1 of Part 2 of our Internationally Accredited Certification Course by Yoga Alliance,4286.0,4.7511926,812.0,293.0,83.0,1321.0,2022-05-29,2022-10-06,Health & Fitness,Yoga,Yoga,/course/200-hours-yoga-teacher-training-part-1-yoga-alliance/,Bodsphere - Health and Wellness,13
JavaScript Unit Testing - The Practical Guide,True,139.99,Learn how to write automated tests (unit & integration tests) for your JavaScript projects with Vitest & Jest.,10663.0,4.723382,1152.0,187.0,92.0,340.0,2022-05-03,2022-08-02,Development,Software Testing,JavaScript,/course/javascript-unit-testing-the-practical-guide/,Academind by Maximilian Schwarzmüller,26
Problem Solving: The Complete Guide,True,49.99,How to solve problems in an efficient and innovative way. Critical & Design thinking. Pareto. Mindmap. 6 thinking hats.,3919.0,4.5037174,1034.0,127.0,34.0,100.0,2022-04-25,2022-10-06,Business,Business Strategy,Problem Solving,/course/problem-solving-the-complete-guide/,Jamal Lazaar,22
Complete Blender Megacourse: Beginner to Expert,True,19.99,Learn how to work with Blender 3.0 like a pro with this step-by-step course!,11760.0,4.5868826,911.0,183.0,232.0,7768.0,2022-04-29,2022-08-09,Design,3D & Animation,Blender,/course/complete-blender-megacourse-beginner-to-expert/,Creativity Unleashed,15
200 Hours Yoga Teacher Training - Part 2 (Yoga Alliance),True,199.99,Part 2 of our Internationally Accredited Certification Course by Yoga Alliance,3379.0,4.8322477,382.0,196.0,97.0,601.0,2022-05-29,2022-07-11,Health & Fitness,Yoga,Yoga,/course/200-hours-yoga-teacher-training-part-2-yoga-alliance/,Bodsphere - Health and Wellness,4
Mastering TypeScript - 2022 Edition,True,99.99,Learn the world's fastest growing programming language from scratch. Includes Webpack & React!,7521.0,4.7630873,877.0,184.0,144.0,644.0,2022-06-27,2022-07-01,Development,Web Development,Typescript,/course/learn-typescript/,Colt Steele,14
